baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC105371598	0	NA	NA	NA	NA	NA
LOC107985246	3.36645395250802	-0.408877530343251	1.03672335435209	-0.394394057611236	0.693290130348504	0.836899836658717
LOC100505650	0.124140909078817	-0.570004411849155	3.52991569721136	-0.16147819402584	0.871716784612192	NA
LOC105372883	2.79930528713732	1.39893713520778	1.12059660848013	1.24838601564675	0.211889727748054	0.415360537420482
MIR205HG	0.346811564529407	-0.145415787969694	3.48113426401205	-0.0417725307159225	0.966680033205602	NA
LOC107985330	0.337863276257216	-1.44861636160519	3.49798972530401	-0.414128249470284	0.678780185133631	NA
LOC105379282	0.498092120298479	1.19010517335818	3.15698817093049	0.376974859873299	0.706192287915399	NA
LOC105373289	0.777565523480514	0.143966722740457	2.46205477321651	0.0584742160518119	0.953370899953754	NA
LOC107985355	0.352078378193492	0.00523736120496159	3.49603556853985	0.00149808578954161	0.99880470092486	NA
LOC101060022	1.04409863784061	0.639956303835051	2.63420744700327	0.242940738992701	0.808051305611667	NA
LOC100506571	1.78458458235012	0.613885984959341	1.47464559499216	0.416293912953779	0.67719494620745	0.827659012550413
LOC101927401	1.32516608569029	-1.6581219359224	1.65750087368293	-1.00037469798619	0.317129209948873	NA
BTNL10	0	NA	NA	NA	NA	NA
LOC105373132	5.60461955797146	-0.124897616561963	0.795903760639106	-0.156925526349657	0.875303541976159	0.942239972985916
LOC107983951	0	NA	NA	NA	NA	NA
C1orf229	1.16904098162527	-0.418892574330462	1.82880040676512	-0.229053193984915	0.818827572122518	NA
LOC107985115	15.1599142253344	-0.116890949376518	0.47379688453451	-0.246711097501958	0.8051318174388	0.904979322926676
OR2W5	0	NA	NA	NA	NA	NA
LOC107987363	0	NA	NA	NA	NA	NA
LOC107987364	0	NA	NA	NA	NA	NA
LOC101927262	4.69231345587607	-1.42337068549281	0.888425113677881	-1.60212792679889	0.109127323622008	0.265611622039995
LOC100996637	0	NA	NA	NA	NA	NA
LOC105373392	0	NA	NA	NA	NA	NA
LOC107985837	0	NA	NA	NA	NA	NA
LOC102723730	0	NA	NA	NA	NA	NA
LOC105373395	0	NA	NA	NA	NA	NA
LOC101926982	0.119195130547962	-0.550710729230469	3.52726908797384	-0.156129491540101	0.875930952523344	NA
C2orf48	0	NA	NA	NA	NA	NA
LOC107985856	1.02651404532284	0.908309005763703	2.38328829696627	0.381115875456572	0.703117267907534	NA
LOC107985792	0	NA	NA	NA	NA	NA
LOC105374378	1.19744425032661	-2.10055831980944	2.00412188811969	-1.04811904518454	0.294583762629597	NA
LOC107985876	0.126070356156442	-0.552491210861354	3.52752362018767	-0.156622965669032	0.87554200193672	NA
LOC102724965	3.92161798035182	0.851424303836756	1.10304229000333	0.771887271732966	0.440181196596164	0.65015045247385
LOC107985795	0.362531170174741	-1.46195278862297	3.50039335333433	-0.417653858024377	0.676200213006204	NA
LOC107984043	1.46534020906771	-1.83327475159637	1.59595224032362	-1.14870276520595	0.25067856524509	NA
LOC107985770	78.9525862240154	1.93088158861222	0.301976903488445	6.39413665848821	1.61456982246509e-10	5.75921241830322e-09
LOC107985896	0	NA	NA	NA	NA	NA
