baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C8orf87	0.110813331660881	0.161365825499277	6.12047839865827	0.0263649040138188	0.978966286952825	NA
LOC101927245	1.78125536229019	-0.393874937866511	1.86086633096706	-0.211662133551431	0.83237063177465	NA
LOC107986873	6.03457409312048	-1.43394046304637	1.60843593679478	-0.891512325883408	0.372654381988694	NA
LOC100132813	0	NA	NA	NA	NA	NA
LOC107986982	0.244796935001342	-0.988579123315257	5.82092153321466	-0.169832064849928	0.865142209123026	NA
LOC105375787	0	NA	NA	NA	NA	NA
LOC107984097	0	NA	NA	NA	NA	NA
LOC642574	0.232771440342189	-1.02671937398148	4.36845188112963	-0.235030487211405	0.814185070523248	NA
SMPD5	0	NA	NA	NA	NA	NA
LOC107986987	1.53609352872785	-2.03367341376013	2.06212397388694	-0.986203273669728	0.324033373174467	NA
LOC107983994	2.91300730530495	-1.27015317914153	1.79294206465806	-0.708418416957474	0.478685458820516	NA
LOC107987042	0.890660655742352	-3.11959576868621	2.85744522816882	-1.09174298003444	0.274946087950664	NA
LOC107987044	0	NA	NA	NA	NA	NA
LOC107987017	0.632929238615786	-0.531673962607965	3.20832456278292	-0.165717012790872	0.868379656908332	NA
LOC105375975	0	NA	NA	NA	NA	NA
LOC107987048	0.0336229038683352	0.161332046731543	6.12047839865827	0.0263593850387431	0.978970688927959	NA
LOC100506422	0	NA	NA	NA	NA	NA
AQP7P5	0	NA	NA	NA	NA	NA
LOC101929959	1.95962071926231	-0.794913197603486	1.82712740121746	-0.435061724252953	0.663517625130123	NA
LOC102724904	0	NA	NA	NA	NA	NA
LOC107984126	0	NA	NA	NA	NA	NA
LOC101930090	0	NA	NA	NA	NA	NA
LOC107987001	0.612209321419343	-1.24198886897533	2.77347612688419	-0.447809468030512	0.654290709725429	NA
LOC100132874	0.704638968508384	0.444095903987674	2.79754421553335	0.158744909739705	0.873869853923737	NA
LOC107987020	4.00300859026743	0.610200985620254	1.37382408257037	0.444162388301268	0.65692518296387	NA
LOC107987004	0	NA	NA	NA	NA	NA
LOC100996643	0.127237319583749	-0.496117685769899	6.10952609341193	-0.0812039556234774	0.935279753775043	NA
LOC107987067	0	NA	NA	NA	NA	NA
LOC105379443	0	NA	NA	NA	NA	NA
LOC107987070	0	NA	NA	NA	NA	NA
LOC644249	0	NA	NA	NA	NA	NA
LOC105376335	0.0931395993488091	-1.22932976976058	6.11673835241816	-0.200977988420019	0.84071578558939	NA
C9orf170	3.00961769497168	1.69952396819717	1.45206904453517	1.17041539766534	0.241833842191411	NA
SPATA31C1	0	NA	NA	NA	NA	NA
LOC105369216	0	NA	NA	NA	NA	NA
SPATA31C2	0	NA	NA	NA	NA	NA
LOC107987092	0	NA	NA	NA	NA	NA
LOC102724237	0	NA	NA	NA	NA	NA
LOC107987096	0	NA	NA	NA	NA	NA
LOC107987098	1.11040038417863	0.364361844903623	2.39455392805419	0.152162722515797	0.879058594666277	NA
LOC107987099	0.0775398676577982	-1.72834658302231	6.11416255704692	-0.282679200445904	0.77742276185503	NA
LOC728026	0	NA	NA	NA	NA	NA
LOC107987034	0	NA	NA	NA	NA	NA
